Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе растворимый Жокей Триумф, 450 г;33069394;0917-08, 0917-08-0, 0917-08-0;https://www.ozon.ru/product/33069394;Жокей;Продукты питания;Кофе растворимый;Нет;7 925 882 ₽;+132%;9 075;1 ₽;873 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,8;42,0%;55,0%;240 568;91 719;0,69%;11,04%;2,3%;0,0%;0001-01-01
Кофе в зёрнах BUSHIDO Red Katana, арабика, 1 кг;155234859;BS010001;https://www.ozon.ru/product/155234859;BUSHIDO;Продукты питания;Кофе в зернах;Нет;7 899 254 ₽;+60%;3 619;1 ₽;2 183 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;38,0%;47,0%;334 596;58 204;0,52%;7,13%;5,1%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия, ВКУСНО КОФЕ свежеобжаренный зерновой;1436475995;КК-ВБ-002;https://www.ozon.ru/product/1436475995;ВкусноКофе;Продукты питания;Кофе в зернах;Нет;7 893 487 ₽;+10%;5 575;1 ₽;1 416 ₽;0 ₽;16 из 28;277 868 ₽;196;FBO;48 ч;2,9;37,0%;46,0%;550 314;83 231;0,12%;13,50%;10,4%;96,6%;2024-02-26
Кофе в зернах 1 кг, Julius Meinl Эспрессо Вена, 100% арабика;1015909853;95330;https://www.ozon.ru/product/1015909853;Julius Meinl;Продукты питания;Кофе в зернах;Нет;7 848 794 ₽;+33%;4 890;154 ₽;1 605 ₽;0 ₽;6 из 28;278 206 ₽;173;FBO;29 ч;4,6;38,0%;48,0%;438 706;51 940;0,33%;12,71%;2,3%;95,4%;2023-06-05
Кофе в зёрнах Lavazza Qualita ORO 1 кг, 100% арабика, средняя обжарка, для кофемашины, Италия Lavazza Qualita ORO 1 кг;1558640800;Лаваза2;https://www.ozon.ru/product/1558640800;Lavazza;Продукты питания;Кофе в зернах;Нет;7 844 261 ₽;+13%;4 967;1 ₽;1 579 ₽;0 ₽;19 из 28;271 261 ₽;172;FBO;46 ч;3,9;38,0%;46,0%;1 968 054;107 142;0,18%;8,11%;10,3%;91,4%;2024-04-25
Кофе в зернах DeLonghi BIANCO LATTE 800 гр;2587561128;AS00010005;https://www.ozon.ru/product/2587561128;DeLonghi;Продукты питания;Кофе в зернах;Нет;7 796 916 ₽;-6%;6 622;1 ₽;1 177 ₽;0 ₽;19 из 28;272 788 ₽;231;FBO;55 ч;3,2;39,0%;49,0%;557 986;141 850;0,35%;7,90%;5,5%;95,7%;2025-08-01
Кофе молотый Жокей Ирландские сливки, 150 г;34371171;0509-20-0, 0509-10, 0509-10;https://www.ozon.ru/product/34371171;Жокей;Продукты питания;Кофе молотый;Нет;7 778 680 ₽;+70%;32 091;1 ₽;242 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;39,0%;50,0%;370 640;143 067;4,84%;16,62%;3,0%;0,0%;0001-01-01
Кофе растворимый Monarch Turk Esinti (Турецкий Бриз) с молотой арабикой в банке , 90 г;1869606579;4024449;https://www.ozon.ru/product/1869606579;Monarch;Продукты питания;Кофе растворимый;Нет;7 429 444 ₽;+91%;28 451;1 ₽;261 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;38,0%;48,0%;705 521;355 790;6,59%;15,48%;0,0%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffe Gusto Classico, 1 кг;956937616;1774-06, 1774-06;https://www.ozon.ru/product/956937616;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;7 416 631 ₽;-2%;5 944;1 ₽;1 248 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;43,0%;56,0%;410 375;131 159;1,22%;7,50%;6,8%;0,0%;0001-01-01
Кофе в зёрнах Piazza del Caffe Arabica Densa, арабика, робуста, 1 кг;147404012;1368-06, 1368-06-0, 1368-06-0;https://www.ozon.ru/product/147404012;Piazza del Caffe;Продукты питания;Кофе в зернах;Нет;7 368 177 ₽;+534%;6 129;1 ₽;1 202 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,7;39,0%;48,0%;334 938;135 841;0,83%;7,65%;4,1%;0,0%;0001-01-01
Кофе растворимый Нескафе Классик Кремá, 190 г;711289810;12502988;https://www.ozon.ru/product/711289810;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;7 291 138 ₽;+49%;15 954;1 ₽;457 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,2;44,0%;58,0%;434 183;89 471;1,31%;16,37%;2,7%;0,0%;0001-01-01
Кофе в зёрнах Jardin Dessert Cup, арабика, 1 кг;185535041;1629-06-0, 1629-06-0;https://www.ozon.ru/product/185535041;Jardin;Продукты питания;Кофе в зернах;Нет;7 087 292 ₽;+142%;5 367;1 ₽;1 321 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,8;42,0%;53,0%;247 925;58 743;0,85%;10,83%;2,6%;0,0%;0001-01-01
Кофе в зёрнах Ozon fresh Intensive Blend, 1 кг;965387737;4607973271824;https://www.ozon.ru/product/965387737;Ozon fresh;Продукты питания;Кофе в зернах;Нет;7 035 236 ₽;+31%;6 812;1 ₽;1 033 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,5;40,0%;51,0%;256 432;90 527;0,88%;9,19%;0,1%;0,0%;0001-01-01
Дрип кофе Sibaristica New Year Special (Молотый кофе в дрип-пакетах, новогодний бленд) 24шт*10гр;3098426763;New_Year_24;https://www.ozon.ru/product/3098426763;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;7 008 321 ₽;+1 525%;7 301;86 ₽;960 ₽;0 ₽;18 из 28;246 145 ₽;257;FBO;41 ч;3,7;38,0%;47,0%;484 573;92 150;0,61%;10,58%;9,2%;96,2%;2025-11-12
Кофе растворимый BUSHIDO Kodo, с молотым, 95 г;139519966;5060367340176;https://www.ozon.ru/product/139519966;BUSHIDO;Продукты питания;Кофе молотый в растворимом;Нет;6 986 570 ₽;+31%;9 514;1 ₽;734 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;41,0%;53,0%;458 130;70 568;0,93%;15,08%;7,9%;0,0%;0001-01-01
Дрип кофе Sibaristica New Year Special (Молотый кофе в дрип-пакетах, новогодний бленд) 6шт*10гр;3098388766;New_Year_6;https://www.ozon.ru/product/3098388766;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;6 960 269 ₽;+825%;18 808;2 ₽;370 ₽;0 ₽;18 из 28;244 650 ₽;663;FBO;55 ч;1,9;39,0%;48,0%;390 249;157 529;1,44%;12,84%;5,6%;96,0%;2025-11-12
Кофе в зёрнах MacCoffee PURE Espresso Forte, 1 кг;984130683;165355;https://www.ozon.ru/product/984130683;MacCoffee;Продукты питания;Кофе в зернах;Нет;6 945 816 ₽;+335%;6 976;1 ₽;996 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;42,0%;54,0%;322 396;75 486;0,60%;14,92%;3,7%;0,0%;0001-01-01
Кофе в зернах DeLonghi AFRICANA SELECTION BLEND, 1кг;674770597;5513284951;https://www.ozon.ru/product/674770597;DeLonghi;Продукты питания;Кофе в зернах;Нет;6 852 360 ₽;+97%;3 988;1 ₽;1 718 ₽;0 ₽;19 из 28;127 565 ₽;74;FBO;39 ч;3,6;37,0%;46,0%;493 437;107 766;0,31%;5,65%;5,6%;95,9%;2022-08-16
Дрип кофе Sibaristica Yellow Submarine, Бразилия (Молотый кофе в дрип-пакетах) 24шт*10гр;865321516;К0000003564;https://www.ozon.ru/product/865321516;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;6 594 050 ₽;+20%;9 147;58 ₽;721 ₽;0 ₽;7 из 28;233 629 ₽;324;FBO;28 ч;4,0;45,0%;60,0%;466 570;83 498;0,77%;10,60%;7,5%;97,0%;2023-02-15
Кофе в зернах, 100% арабика премиум, Можиана 1 кг;1573928909;BR_Coffee_1kg;https://www.ozon.ru/product/1573928909;JORGE;Продукты питания;Кофе в зернах;Нет;6 589 481 ₽;-20%;4 855;1 ₽;1 357 ₽;0 ₽;11 из 28;235 267 ₽;174;FBO;29 ч;3,8;38,0%;46,0%;251 030;64 635;0,40%;14,15%;2,3%;97,2%;2024-05-14
Кофе молотый Jardin Espresso di Milano, 250 г;33069255;0563-12, 0563-12-0, 0563-12-0;https://www.ozon.ru/product/33069255;Jardin;Продукты питания;Кофе молотый;Нет;6 583 892 ₽;+108%;20 362;1 ₽;323 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;51,0%;71,0%;229 224;109 185;1,87%;14,85%;0,0%;0,0%;0001-01-01
Кофе в зёрнах Jardin Espresso di Milano, арабика, робуста, 1 кг;138355209;1089-06-Н, 1089-06-0, 1089-06-0;https://www.ozon.ru/product/138355209;Jardin;Продукты питания;Кофе в зернах;Нет;6 525 087 ₽;+438%;5 527;1 ₽;1 181 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,3;41,0%;52,0%;271 568;57 819;0,69%;12,59%;3,2%;0,0%;0001-01-01
Кофе растворимый Нескафе Голд, 190 г;151852849;12403031;https://www.ozon.ru/product/151852849;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;6 515 008 ₽;+84%;12 320;1 ₽;529 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;47,0%;64,0%;518 505;143 250;1,33%;10,41%;4,4%;0,0%;0001-01-01
Кофе в зернах DeLonghi CAFFEINE BLEND, 1кг;820725534;AS00005335;https://www.ozon.ru/product/820725534;DeLonghi;Продукты питания;Кофе в зернах;Нет;6 367 381 ₽;+32%;4 171;1 ₽;1 527 ₽;1 048 190 ₽;23 из 28;262 047 ₽;172;FBO;54 ч;2,8;36,0%;44,0%;452 259;70 352;0,45%;9,23%;7,5%;95,7%;2022-12-16
Кофе молотый EGOISTE Espresso, 250 г;35190435;4260283250172;https://www.ozon.ru/product/35190435;EGOISTE;Продукты питания;Кофе молотый;Нет;6 289 722 ₽;+155%;11 710;1 ₽;537 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;46,0%;63,0%;502 515;101 387;1,07%;11,42%;11,8%;0,0%;0001-01-01
Кофе в зернах Tasty Coffee Натти, 250 г;714928271;4_1ЭС020;https://www.ozon.ru/product/714928271;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;6 258 814 ₽;+23%;9 787;1 ₽;640 ₽;0 ₽;20 из 28;83 019 ₽;129;FBO;49 ч;1,4;44,0%;58,0%;490 707;74 362;1,27%;10,24%;14,6%;96,4%;2022-09-16
Кофе растворимый Monarch Pacific Selection, 670 г;1482873270;4058111;https://www.ozon.ru/product/1482873270;Monarch;Продукты питания;Кофе растворимый;Нет;6 251 170 ₽;+147%;4 680;1 ₽;1 336 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,8;40,0%;50,0%;340 371;71 829;0,75%;10,40%;5,2%;0,0%;0001-01-01
Кофе в зернах Italco Crema Italiano 1 кг;244466211;4650097784336;https://www.ozon.ru/product/244466211;Italco;Продукты питания;Кофе в зернах;Нет;6 216 775 ₽;-41%;4 661;1 ₽;1 334 ₽;0 ₽;5 из 28;173 134 ₽;131;FBO;30 ч;3,2;39,0%;48,0%;537 815;64 544;0,57%;11,50%;4,9%;96,2%;2021-03-23
Кофе растворимый ОРИГИНАЛ NESCAFE GOLD 900 г;1492719331;NSCF_gold900;https://www.ozon.ru/product/1492719331;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;6 207 848 ₽;+14%;2 520;196 ₽;2 463 ₽;0 ₽;9 из 28;218 163 ₽;89;FBO;38 ч;4,3;36,0%;44,0%;137 345;28 028;0,68%;12,00%;0,4%;96,1%;2024-03-22
Кофе в зернах Tasty Coffee Кэнди, 1 кг;643732013;4ЭС020;https://www.ozon.ru/product/643732013;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;6 129 609 ₽;+9%;2 576;1 ₽;2 380 ₽;0 ₽;25 из 28;213 139 ₽;90;FBO;55 ч;5,8;37,0%;45,0%;234 604;38 026;0,40%;7,99%;7,3%;95,7%;2022-07-15
Кофе в зернах Tasty Coffee Бразилия Серрадо, 250 г;643775232;2_1СЕРРАД_ЗЕРН;https://www.ozon.ru/product/643775232;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;6 113 645 ₽;+18%;9 504;1 ₽;643 ₽;0 ₽;20 из 28;82 421 ₽;127;FBO;50 ч;1,5;44,0%;58,0%;479 279;80 284;1,00%;10,37%;13,3%;96,0%;2022-07-15
Кофе в зёрнах BUSHIDO Black Katana, арабика, 1 кг;202777637;BU10004008;https://www.ozon.ru/product/202777637;BUSHIDO;Продукты питания;Кофе в зернах;Нет;6 106 008 ₽;+44%;2 866;1 ₽;2 130 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,6;36,0%;44,0%;282 119;54 835;0,42%;6,41%;7,1%;0,0%;0001-01-01
Кофе в зёрнах Jardin Cafe Eclair, арабика, 1 кг;185535040;1628-06-0, 1628-06-0;https://www.ozon.ru/product/185535040;Jardin;Продукты питания;Кофе в зернах;Нет;6 101 582 ₽;+117%;4 432;1 ₽;1 377 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,2;42,0%;53,0%;266 946;49 173;0,89%;9,84%;4,0%;0,0%;0001-01-01
Кофе в зёрнах EGOISTE Voyage, 1000 г;1527176555;EG10004041;https://www.ozon.ru/product/1527176555;EGOISTE;Продукты питания;Кофе в зернах;Нет;6 047 175 ₽;+251%;3 863;1 ₽;1 565 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,1;39,0%;48,0%;259 236;52 367;0,64%;10,60%;2,6%;0,0%;0001-01-01
Дрип кофе Sibaristica Mega Drip Max, Эфиопия, Колумбия, Гватемала (Набор молотого кофе в дрип-пакетах) 48шт*10гр;1463825680;КА-00001524;https://www.ozon.ru/product/1463825680;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;5 983 909 ₽;+29%;3 734;133 ₽;1 603 ₽;0 ₽;9 из 28;212 103 ₽;132;FBO;28 ч;10,6;44,0%;55,0%;320 550;49 019;0,39%;8,63%;5,7%;96,9%;2024-03-11
Кофе растворимый BUSHIDO Original, 50 г;34362299;7610121710356;https://www.ozon.ru/product/34362299;BUSHIDO;Продукты питания;Кофе растворимый;Нет;5 947 799 ₽;-11%;12 621;1 ₽;471 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,3;46,0%;63,0%;1 264 206;365 269;0,81%;6,87%;24,3%;0,0%;0001-01-01
Кофе растворимый Carte Noire Original, 150 г;33871158;4607001777304;https://www.ozon.ru/product/33871158;Carte Noire;Продукты питания;Кофе растворимый;Нет;5 865 742 ₽;+48%;8 661;1 ₽;677 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;43,0%;57,0%;213 506;58 833;1,74%;12,07%;1,1%;0,0%;0001-01-01
Кофе в зёрнах BUSHIDO Sensei, арабика, 227 г;151792308;BU22712003;https://www.ozon.ru/product/151792308;BUSHIDO;Продукты питания;Кофе в зернах;Нет;5 847 539 ₽;+54%;10 250;1 ₽;570 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,7;46,0%;63,0%;476 423;97 516;1,08%;10,28%;12,0%;0,0%;0001-01-01
Кофе растворимый Monarch Hazelnut, 95 г;281052103;8051222;https://www.ozon.ru/product/281052103;Monarch;Продукты питания;Кофе растворимый;Нет;5 843 412 ₽;+79%;15 922;1 ₽;367 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;50,0%;70,0%;700 033;250 056;2,52%;9,90%;9,4%;0,0%;0001-01-01
Кофе растворимый Bushido Original (Бушидо оригинал), 100 грамм стекло;992639893;00007880;https://www.ozon.ru/product/992639893;BUSHIDO;Продукты питания;Кофе растворимый;Нет;5 779 547 ₽;+57%;7 567;60 ₽;764 ₽;0 ₽;25 из 28;199 946 ₽;262;FBO;59 ч;0,7;40,0%;51,0%;104 929;45 797;2,83%;19,77%;0,0%;94,7%;2023-05-22
Кофе в зернах Poetti Leggenda Original, натуральный, жареный, 1 кг;697311802;18001;https://www.ozon.ru/product/697311802;Poetti;Продукты питания;Кофе в зернах;Нет;5 720 862 ₽;+574%;4 626;97 ₽;1 237 ₽;0 ₽;11 из 28;198 940 ₽;161;FBO;41 ч;5,1;42,0%;54,0%;86 904;34 660;1,77%;13,44%;0,0%;93,8%;2022-09-02
Кофе жареный зерновой JAMADJI (Джамаджи) 1 кг;2219016063;4607973271220;https://www.ozon.ru/product/2219016063;JAMADJI;Продукты питания;Кофе в зернах;Нет;5 700 384 ₽;+13%;5 146;92 ₽;1 108 ₽;0 ₽;16 из 28;200 922 ₽;181;FBO;32 ч;3,9;41,0%;52,0%;198 051;34 558;0,93%;18,46%;0,2%;96,8%;2025-06-01
Дрип кофе Tasty Coffee Christmas Blend 2026, 5 шт. по 11,5 г;1752438862;Christmas2025_ДРИП;https://www.ozon.ru/product/1752438862;Tasty Coffee;Продукты питания;Кофе в дрип-пакетах;Нет;5 655 840 ₽;+6%;18 145;1 ₽;312 ₽;0 ₽;25 из 28;201 896 ₽;649;FBO;77 ч;1,1;55,0%;79,0%;121 159;112 791;4,94%;13,95%;1,4%;94,9%;2024-11-08
Кофе капсульный Jardin Ассорти 5 видов по 4 шт;151141939;1492-10;https://www.ozon.ru/product/151141939;Jardin;Продукты питания;Кофе в капсулах;Нет;5 532 079 ₽;+108%;11 015;1 ₽;502 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,3;47,0%;65,0%;428 895;175 115;5,68%;17,19%;4,0%;0,0%;0001-01-01
Кофе в зёрнах Jardin Caffe Classico, арабика, 1 кг;33632575;1496-06, 1496-06-0, 1496-06-0;https://www.ozon.ru/product/33632575;Jardin;Продукты питания;Кофе в зернах;Нет;5 434 416 ₽;+118%;4 203;1 ₽;1 293 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;5,8;41,0%;52,0%;196 715;61 999;1,00%;10,11%;0,0%;0,0%;0001-01-01
"Кофе в зернах 2кг арабика робуста для кофемашин; Barista Pro Bar тёмная обжарка";1505653744;200716276;https://www.ozon.ru/product/1505653744;Barista PRO;Продукты питания;Кофе в зернах;Нет;5 401 544 ₽;+1 153%;2 294;1 ₽;2 355 ₽;0 ₽;26 из 28;188 899 ₽;80;FBO;54 ч;8,0;37,0%;45,0%;54 004;11 907;1,75%;17,43%;0,0%;96,1%;2024-03-27
Кофе в зернах свежей обжарки Sibaristica Blue Magic (Бразилия и Эфиопия), 1 кг;871433661;К0000003548;https://www.ozon.ru/product/871433661;Sibaristica;Продукты питания;Кофе в зернах;Нет;5 389 408 ₽;+61%;3 176;148 ₽;1 697 ₽;0 ₽;20 из 28;188 551 ₽;111;FBO;33 ч;3,8;37,0%;45,0%;453 563;30 168;0,20%;11,12%;6,5%;95,2%;2023-02-21
